song_id,title,artist,som_x,som_y
Gökhan_Türkmen_Derdim,Derdim,Gökhan Türkmen,20,2
Gökhan_Türkmen_Çatı_Katı,Çatı Katı,Gökhan Türkmen,1,6
Gökhan_Türkmen_Bitmesin,Bitmesin,Gökhan Türkmen,14,20
Gökhan_Türkmen_Sen_İstanbul'sun,Sen İstanbul'sun,Gökhan Türkmen,14,20
Ayşegül_Aldinç_Durum_Leyla,Durum Leyla,Ayşegül Aldinç,5,17
Gökhan_Türkmen_Mahşer,Mahşer,Gökhan Türkmen,1,6
Gökhan_Türkmen_Lafügüzaf,Lafügüzaf,Gökhan Türkmen,1,6
Gökhan_Türkmen_Taş,Taş,Gökhan Türkmen,20,2
Gökhan_Türkmen_Aşk,Aşk,Gökhan Türkmen,1,6
Aslı_Demirer_Korkak,Korkak,Aslı Demirer,8,1
Gökhan_Türkmen_Ben_Unuturum,Ben Unuturum,Gökhan Türkmen,8,1
Gökhan_Türkmen_Dene,Dene,Gökhan Türkmen,20,2
Gökhan_Türkmen_Aşk_Lazım,Aşk Lazım,Gökhan Türkmen,1,6
Harun_Kolçak_Yanımda_Kal,Yanımda Kal,Harun Kolçak,1,6
Gökhan_Türkmen_Büyük_İnsan,Büyük İnsan,Gökhan Türkmen,8,1
Gökhan_Türkmen_Açık_Adres_-_SAYGI1,Açık Adres - SAYGI1,Gökhan Türkmen,20,2
Gökhan_Türkmen_Bir_Öykü,Bir Öykü,Gökhan Türkmen,1,6
Gökhan_Türkmen_Rüya,Rüya,Gökhan Türkmen,8,1
Gökhan_Türkmen_Biraz_Ayrılık,Biraz Ayrılık,Gökhan Türkmen,20,2
Gökhan_Türkmen_Kalbim,Kalbim,Gökhan Türkmen,1,6
Gökhan_Türkmen_Dön,Dön,Gökhan Türkmen,5,17
Gökhan_Türkmen_İhtimaller_Perisi,İhtimaller Perisi,Gökhan Türkmen,14,20
Gökhan_Türkmen_Bir_Başıma,Bir Başıma,Gökhan Türkmen,17,12
Gökhan_Türkmen_Yan_Sen,Yan Sen,Gökhan Türkmen,5,17
Gökhan_Türkmen_Ayıp_Ettin,Ayıp Ettin,Gökhan Türkmen,5,17
Gökhan_Türkmen_Olmadı,Olmadı,Gökhan Türkmen,8,1
Gökhan_Türkmen_Ezberime,Ezberime,Gökhan Türkmen,20,2
Gökhan_Türkmen_Seninle_Ben,Seninle Ben,Gökhan Türkmen,17,12
Gökhan_Türkmen_Öyle_Güzel_Ki,Öyle Güzel Ki,Gökhan Türkmen,20,2
Gökhan_Türkmen_Bal,Bal,Gökhan Türkmen,1,6
Gökhan_Türkmen_Susma,Susma,Gökhan Türkmen,8,1
Gökhan_Türkmen_Dön_Bebeğim,Dön Bebeğim,Gökhan Türkmen,20,2
